,date_time,mid,instrument
0,2019-01-25 07:09:59,107.758,H
1,2019-01-25 07:14:59,107.757,H
2,2019-01-25 07:19:58,107.755,H
3,2019-01-25 07:24:59,107.756,H
4,2019-01-25 07:29:59,125.28,K
5,2019-01-25 07:34:59,101.429,A
6,2019-01-25 07:39:59,125.328,K
7,2019-01-25 07:44:59,107.81,H
8,2019-01-25 07:49:59,101.437,A
9,2019-01-25 07:54:59,107.795,H
10,2019-01-25 07:59:58,101.441,A
11,2019-01-25 08:04:59,112.739,I
12,2019-01-25 08:09:59,101.489,A
13,2019-01-25 08:14:59,125.369,K
14,2019-01-25 08:19:59,105.142,J
15,2019-01-25 08:24:59,101.544,A
16,2019-01-25 08:29:59,100.617,E
17,2019-01-25 08:34:59,101.584,A
18,2019-01-25 08:39:59,112.807,I
19,2019-01-25 08:44:59,107.917,H
20,2019-01-25 08:49:59,107.967,H
21,2019-01-25 08:54:59,100.679,E
22,2019-01-25 08:59:59,112.88,I
23,2019-01-25 09:04:59,125.538,K
24,2019-01-25 09:09:59,101.703,A
25,2019-01-25 09:14:58,100.712,E
26,2019-01-25 09:19:59,108.009,H
27,2019-01-25 09:24:59,101.697,A
28,2019-01-25 09:29:59,107.973,H
29,2019-01-25 09:34:59,101.618,A
30,2019-01-25 09:39:59,107.939,H
31,2019-01-25 09:44:59,103.019,G
32,2019-01-25 09:49:59,125.496,K
33,2019-01-25 09:54:59,101.605,A
34,2019-01-25 09:59:59,101.584,A
35,2019-01-25 10:04:59,125.454,K
36,2019-01-25 10:09:59,100.659,E
37,2019-01-25 10:14:59,100.658,E
38,2019-01-25 10:19:59,125.476,K
39,2019-01-25 10:24:59,107.921,H
40,2019-01-25 10:29:59,107.898,H
41,2019-01-25 10:34:59,125.439,K
42,2019-01-25 10:39:59,105.266,J
43,2019-01-25 10:44:59,125.449,K
44,2019-01-25 10:49:59,100.633,E
45,2019-01-25 10:54:59,107.916,H
46,2019-01-25 10:59:59,103.018,G
47,2019-01-25 11:04:59,107.925,H
48,2019-01-25 11:09:59,107.914,H
49,2019-01-25 11:14:59,125.45,K
50,2019-01-25 11:19:59,103.004,G
51,2019-01-25 11:24:59,101.678,A
52,2019-01-25 11:29:59,107.878,H
53,2019-01-25 11:34:58,107.868,H
54,2019-01-25 11:39:59,107.863,H
55,2019-01-25 11:44:59,107.869,H
56,2019-01-25 11:49:59,125.414,K
57,2019-01-25 11:54:59,101.65,A
58,2019-01-25 11:59:59,100.596,E
59,2019-01-25 12:04:59,107.841,H
60,2019-01-25 12:09:59,101.619,A
61,2019-01-25 12:14:59,112.761,I
62,2019-01-25 12:19:59,101.623,A
63,2019-01-25 12:24:59,125.374,K
64,2019-01-25 12:29:59,100.588,E
65,2019-01-25 12:34:59,100.598,E
66,2019-01-25 12:39:59,112.756,I
67,2019-01-25 12:44:59,101.619,A
68,2019-01-25 12:49:59,112.753,I
69,2019-01-25 12:54:59,101.607,A
70,2019-01-25 12:59:58,101.604,A
71,2019-01-25 13:04:59,107.825,H
72,2019-01-25 13:09:59,101.608,A
73,2019-01-25 13:14:59,101.59,A
74,2019-01-25 13:19:59,105.195,J
75,2019-01-25 13:24:59,107.818,H
76,2019-01-25 13:29:59,125.352,K
77,2019-01-25 13:34:59,125.349,K
78,2019-01-25 13:39:59,100.586,E
79,2019-01-25 13:44:59,112.733,I
80,2019-01-25 13:49:58,100.592,E
81,2019-01-25 13:54:59,100.594,E
82,2019-01-25 13:59:59,112.75,I
83,2019-01-25 14:04:59,107.795,H
84,2019-01-25 14:09:59,125.325,K
85,2019-01-25 14:14:59,101.498,A
86,2019-01-25 14:19:59,125.321,K
87,2019-01-25 14:24:59,125.309,K
88,2019-01-25 14:29:59,102.881,G
89,2019-01-25 14:34:59,100.572,E
90,2019-01-25 14:39:59,107.753,H
91,2019-01-25 14:44:59,125.318,K
92,2019-01-25 14:49:59,125.339,K
93,2019-01-25 14:54:59,125.363,K
94,2019-01-25 14:59:59,107.806,H
95,2019-01-25 15:04:59,102.921,G
96,2019-01-25 15:09:59,105.093,J
97,2019-01-25 15:14:59,125.393,K
98,2019-01-25 15:19:59,107.836,H
99,2019-01-25 15:24:59,125.386,K
100,2019-01-25 15:29:59,102.921,G
101,2019-01-25 15:34:58,112.764,I
102,2019-01-25 15:39:59,107.818,H
103,2019-01-25 15:44:59,107.809,H
104,2019-01-25 15:49:59,125.346,K
105,2019-01-25 15:54:59,100.616,E
106,2019-01-25 15:59:59,107.808,H
107,2019-01-25 16:04:59,102.923,G
108,2019-01-25 16:09:59,125.368,K
109,2019-01-25 16:14:59,107.838,H
110,2019-01-25 16:19:59,112.769,I
111,2019-01-25 16:24:59,102.933,G
112,2019-01-25 16:29:59,125.366,K
113,2019-01-25 16:34:59,102.937,G
114,2019-01-25 16:39:59,107.828,H
115,2019-01-25 16:44:59,102.938,G
116,2019-01-25 16:49:59,101.525,A
117,2019-01-25 16:54:59,125.371,K
118,2019-01-25 16:59:59,107.837,H
119,2019-01-28 07:09:59,107.838,H
120,2019-01-28 07:14:59,112.8,I
121,2019-01-28 07:19:59,101.494,A
122,2019-01-28 07:24:59,102.919,G
123,2019-01-28 07:29:59,101.487,A
124,2019-01-28 07:34:59,125.335,K
125,2019-01-28 07:39:59,107.514,F
126,2019-01-28 07:44:59,125.326,K
127,2019-01-28 07:49:59,100.607,E
128,2019-01-28 07:54:59,105.062,J
129,2019-01-28 07:59:59,106.032,B
130,2019-01-28 08:04:59,106.058,B
131,2019-01-28 08:09:59,112.708,I
132,2019-01-28 08:14:59,112.714,I
133,2019-01-28 08:19:59,100.589,E
134,2019-01-28 08:24:59,107.507,F
135,2019-01-28 08:29:59,100.895,C
136,2019-01-28 08:34:59,100.906,C
137,2019-01-28 08:39:59,100.59,E
138,2019-01-28 08:44:59,125.326,K
139,2019-01-28 08:49:59,112.736,I
140,2019-01-28 08:54:59,107.509,F
141,2019-01-28 08:59:59,125.333,K
142,2019-01-28 09:04:59,105.059,J
143,2019-01-28 09:09:59,107.533,F
144,2019-01-28 09:14:59,107.536,F
145,2019-01-28 09:19:59,107.8,H
146,2019-01-28 09:24:59,100.588,E
147,2019-01-28 09:29:59,112.74,I
148,2019-01-28 09:34:59,112.742,I
149,2019-01-28 09:39:59,112.738,I
150,2019-01-28 09:44:59,107.55,F
151,2019-01-28 09:49:59,100.931,C
152,2019-01-28 09:54:59,100.596,E
153,2019-01-28 09:59:59,107.586,F
154,2019-01-28 10:04:59,107.58,F
155,2019-01-28 10:09:59,100.59,E
156,2019-01-28 10:14:59,105.13,J
157,2019-01-28 10:19:59,105.125,J
158,2019-01-28 10:24:59,107.828,H
159,2019-01-28 10:29:59,105.117,J
160,2019-01-28 10:34:59,100.948,C
161,2019-01-28 10:39:59,100.937,C
162,2019-01-28 10:44:59,102.903,G
163,2019-01-28 10:49:59,101.477,A
164,2019-01-28 10:54:59,100.575,E
165,2019-01-28 10:59:59,100.895,C
166,2019-01-28 11:04:59,107.793,H
167,2019-01-28 11:09:59,107.8,H
168,2019-01-28 11:14:59,100.581,E
169,2019-01-28 11:19:59,101.466,A
170,2019-01-28 11:24:59,125.317,K
171,2019-01-28 11:29:59,107.473,F
172,2019-01-28 11:34:59,100.565,E
173,2019-01-28 11:39:59,107.766,H
174,2019-01-28 11:44:59,102.858,G
175,2019-01-28 11:49:59,100.852,C
176,2019-01-28 11:54:59,125.279,K
177,2019-01-28 11:59:59,107.746,H
178,2019-01-28 12:04:59,100.56,E
179,2019-01-28 12:09:59,102.846,G
180,2019-01-28 12:14:59,107.752,H
181,2019-01-28 12:19:59,100.555,E
182,2019-01-28 12:24:59,107.399,F
183,2019-01-28 12:29:59,101.361,A
184,2019-01-28 12:34:59,100.548,E
185,2019-01-28 12:39:59,105.875,B
186,2019-01-28 12:44:59,107.719,H
187,2019-01-28 12:49:59,107.385,F
188,2019-01-28 12:54:59,101.348,A
189,2019-01-28 12:59:59,107.741,H
190,2019-01-28 13:04:59,105.877,B
191,2019-01-28 13:09:59,125.283,K
192,2019-01-28 13:14:59,100.556,E
193,2019-01-28 13:19:59,107.737,H
194,2019-01-28 13:24:59,100.558,E
195,2019-01-28 13:29:59,102.831,G
196,2019-01-28 13:34:59,100.546,E
197,2019-01-28 13:39:59,107.345,F
198,2019-01-28 13:44:59,107.751,H
199,2019-01-28 13:49:59,102.84,G
200,2019-01-28 13:54:59,125.285,K
201,2019-01-28 13:59:59,107.741,H
202,2019-01-28 14:04:59,100.548,E
203,2019-01-28 14:09:59,101.409,A
204,2019-01-28 14:14:59,105.957,B
205,2019-01-28 14:19:59,107.769,H
206,2019-01-28 14:24:59,107.781,H
207,2019-01-28 14:29:59,105.042,J
208,2019-01-28 14:34:58,107.842,H
209,2019-01-28 14:39:59,101.491,A
210,2019-01-28 14:44:59,107.844,H
211,2019-01-28 14:49:59,106.154,B
212,2019-01-28 14:54:59,125.39,K
213,2019-01-28 14:59:59,107.861,H
214,2019-01-28 15:04:59,125.414,K
215,2019-01-28 15:09:59,105.124,J
216,2019-01-28 15:14:59,101.524,A
217,2019-01-28 15:19:59,100.603,E
218,2019-01-28 15:24:59,100.602,E
219,2019-01-28 15:29:59,107.883,H
220,2019-01-28 15:34:59,106.14,B
221,2019-01-28 15:39:59,101.531,A
222,2019-01-28 15:44:59,107.883,H
223,2019-01-28 15:49:59,100.978,C
224,2019-01-28 15:54:59,101.536,A
225,2019-01-28 15:59:59,107.908,H
226,2019-01-28 16:04:59,106.212,B
227,2019-01-28 16:09:58,125.467,K
228,2019-01-28 16:14:59,101.048,C
229,2019-01-28 16:19:59,101.607,A
230,2019-01-28 16:24:59,101.618,A
231,2019-01-28 16:29:59,107.965,H
232,2019-01-28 16:34:59,106.342,B
233,2019-01-28 16:39:59,125.512,K
234,2019-01-28 16:44:59,101.638,A
235,2019-01-28 16:49:59,112.883,I
236,2019-01-28 16:54:59,101.085,C
237,2019-01-28 16:59:59,101.623,A
238,2019-01-29 07:09:59,107.67,F
239,2019-01-29 07:14:59,107.962,H
240,2019-01-29 07:19:59,107.715,F
241,2019-01-29 07:24:59,100.679,E
242,2019-01-29 07:29:59,103.102,G
243,2019-01-29 07:34:59,100.697,E
244,2019-01-29 07:39:59,125.512,K
245,2019-01-29 07:44:59,107.975,H
246,2019-01-29 07:49:59,103.105,G
247,2019-01-29 07:54:59,106.39,B
248,2019-01-29 07:59:59,107.742,F
249,2019-01-29 08:04:59,106.453,B
250,2019-01-29 08:09:59,107.759,F
251,2019-01-29 08:14:59,125.538,K
252,2019-01-29 08:19:59,125.525,K
253,2019-01-29 08:24:59,101.665,A
254,2019-01-29 08:29:59,106.363,B
255,2019-01-29 08:34:59,101.07,C
256,2019-01-29 08:39:59,101.624,A
257,2019-01-29 08:44:59,107.945,H
258,2019-01-29 08:49:59,125.504,K
259,2019-01-29 08:54:59,107.952,H
260,2019-01-29 08:59:59,106.345,B
261,2019-01-29 09:04:59,107.932,H
262,2019-01-29 09:09:59,100.638,E
263,2019-01-29 09:14:59,107.9,H
264,2019-01-29 09:19:59,107.902,H
265,2019-01-29 09:24:59,101.545,A
266,2019-01-29 09:29:59,100.622,E
267,2019-01-29 09:34:59,107.878,H
268,2019-01-29 09:39:59,107.875,H
269,2019-01-29 09:44:59,107.868,H
270,2019-01-29 09:49:59,100.593,E
271,2019-01-29 09:54:59,107.848,H
272,2019-01-29 09:59:59,100.954,C
273,2019-01-29 10:04:59,107.848,H
274,2019-01-29 10:09:59,107.846,H
275,2019-01-29 10:14:59,107.826,H
276,2019-01-29 10:19:59,107.826,H
277,2019-01-29 10:24:59,107.823,H
278,2019-01-29 10:29:59,107.822,H
279,2019-01-29 10:34:59,112.762,I
280,2019-01-29 10:39:59,107.825,H
281,2019-01-29 10:44:59,106.043,B
282,2019-01-29 10:49:58,106.074,B
283,2019-01-29 10:54:59,125.403,K
284,2019-01-29 10:59:59,107.828,H
285,2019-01-29 11:04:59,107.834,H
286,2019-01-29 11:09:59,107.842,H
287,2019-01-29 11:14:59,100.964,C
288,2019-01-29 11:19:59,100.587,E
289,2019-01-29 11:24:59,101.53,A
290,2019-01-29 11:29:59,100.962,C
291,2019-01-29 11:34:59,107.535,F
292,2019-01-29 11:39:59,100.964,C
293,2019-01-29 11:44:59,125.423,K
294,2019-01-29 11:49:59,112.796,I
295,2019-01-29 11:54:59,112.797,I
296,2019-01-29 11:59:59,107.563,F
297,2019-01-29 12:04:59,112.795,I
298,2019-01-29 12:09:59,100.589,E
299,2019-01-29 12:14:59,112.796,I
300,2019-01-29 12:19:59,105.148,J
301,2019-01-29 12:24:59,100.988,C
302,2019-01-29 12:29:59,100.591,E
303,2019-01-29 12:34:59,125.407,K
304,2019-01-29 12:39:59,107.854,H
305,2019-01-29 12:44:59,112.785,I
306,2019-01-29 12:49:59,107.859,H
307,2019-01-29 12:54:59,100.99,C
308,2019-01-29 12:59:59,105.16,J
309,2019-01-29 13:04:59,125.427,K
310,2019-01-29 13:09:59,107.603,F
311,2019-01-29 13:14:59,125.41,K
312,2019-01-29 13:19:59,107.572,F
313,2019-01-29 13:24:59,100.579,E
314,2019-01-29 13:29:59,100.58,E
315,2019-01-29 13:34:59,107.564,F
316,2019-01-29 13:39:59,100.579,E
317,2019-01-29 13:44:59,107.55,F
318,2019-01-29 13:49:59,100.971,C
319,2019-01-29 13:54:59,105.136,J
320,2019-01-29 13:59:59,107.842,H
321,2019-01-29 14:04:59,100.979,C
322,2019-01-29 14:09:59,100.992,C
323,2019-01-29 14:14:59,112.782,I
324,2019-01-29 14:19:59,107.856,H
325,2019-01-29 14:24:59,106.078,B
326,2019-01-29 14:29:59,125.405,K
327,2019-01-29 14:34:59,100.974,C
328,2019-01-29 14:39:59,112.784,I
329,2019-01-29 14:44:59,112.768,I
330,2019-01-29 14:49:59,125.395,K
331,2019-01-29 14:54:59,100.95,C
332,2019-01-29 14:59:59,125.393,K
333,2019-01-29 15:04:59,125.394,K
334,2019-01-29 15:09:59,107.848,H
335,2019-01-29 15:14:58,107.831,H
336,2019-01-29 15:19:59,125.36,K
337,2019-01-29 15:24:59,100.836,C
338,2019-01-29 15:29:59,107.77,H
339,2019-01-29 15:34:59,125.331,K
340,2019-01-29 15:39:59,125.331,K
341,2019-01-29 15:44:59,100.569,E
342,2019-01-29 15:49:59,125.364,K
343,2019-01-29 15:54:59,100.886,C
344,2019-01-29 15:59:59,105.855,B
345,2019-01-29 16:04:59,105.848,B
346,2019-01-29 16:09:59,107.846,H
347,2019-01-29 16:14:59,107.858,H
348,2019-01-29 16:19:59,105.072,J
349,2019-01-29 16:24:59,102.957,G
350,2019-01-29 16:29:59,100.574,E
351,2019-01-29 16:34:59,107.413,F
352,2019-01-29 16:39:59,101.467,A
353,2019-01-29 16:44:59,101.463,A
354,2019-01-29 16:49:59,100.901,C
355,2019-01-29 16:54:59,105.016,J
356,2019-01-29 16:59:59,125.383,K
357,2019-01-30 07:09:59,125.406,K
358,2019-01-30 07:14:59,100.926,C
359,2019-01-30 07:19:59,100.93,C
360,2019-01-30 07:24:59,107.489,F
361,2019-01-30 07:29:59,100.605,E
362,2019-01-30 07:34:59,105.905,B
363,2019-01-30 07:39:59,107.846,H
364,2019-01-30 07:44:58,107.465,F
365,2019-01-30 07:49:59,100.933,C
366,2019-01-30 07:54:59,105.872,B
367,2019-01-30 07:59:59,107.816,H
368,2019-01-30 08:04:59,107.831,H
369,2019-01-30 08:09:59,107.824,H
370,2019-01-30 08:14:59,125.362,K
371,2019-01-30 08:19:59,100.879,C
372,2019-01-30 08:24:59,101.379,A
373,2019-01-30 08:29:59,105.609,B
374,2019-01-30 08:34:59,100.473,E
375,2019-01-30 08:39:59,100.63,C
376,2019-01-30 08:44:59,112.542,I
