,date_time,instrument,client,price,mid,vol_MM,dv01,num_dealers,side,won
94075,2019-01-25 15:58:29.0,I,F,112.779,112.7416,2.0,6.087,5,-1,0
94087,2019-01-28 09:28:10.0,B,G,106.065,106.1855,0.5,21.9017,5,1,0
94089,2019-01-28 09:40:24.0,F,G,107.607,107.557,0.975,13.2621,5,-1,0
94158,2019-01-29 16:21:06.0,E,F,100.622,100.582,0.01,4.4853,5,-1,0
94194,2019-01-30 16:19:28.0,F,F,107.297,107.217,0.448,13.2087,5,-1,0
94244,2019-01-31 16:20:59.0,F,F,108.102,107.942,0.59,13.3072,5,-1,0
94329,2019-02-05 16:21:31.0,F,F,107.136,107.056,0.037,13.1736,5,-1,0
94492,2019-02-13 12:24:09.0,F,F,107.13,107.0595,0.12,13.1565,5,-1,0
96928,2019-02-18 16:24:28.0,C,G,101.014,101.027,10.0,9.5187,3,1,0
96973,2019-02-20 13:25:21.0,C,G,101.297,101.3064,10.0,9.5442,4,1,1
97029,2019-02-22 11:18:21.0,B,F,106.415,106.345,0.005,21.9106,7,-1,0
97032,2019-02-22 12:08:54.0,C,G,101.524,101.5546,8.2,9.5621,4,1,0
97124,2019-02-27 09:51:07.0,G,F,103.62,103.5696,2.0,7.5625,5,-1,0
97125,2019-02-27 09:52:30.0,B,F,106.955,107.189,0.5,22.1274,5,1,0
97151,2019-02-27 14:38:53.0,A,G,102.179,103.6042,17.9,8.4332,5,1,0
97170,2019-02-28 12:35:34.0,C,G,101.721,101.7247,9.1,9.5661,4,1,1
97341,2019-03-07 11:43:33.0,A,F,102.372,102.3478,0.28,8.9791,5,-1,0
97423,2019-03-12 09:46:58.0,C,G,102.694,102.7012,2.0,9.6469,5,-1,0
97511,2019-03-14 11:40:20.0,E,G,100.943,100.9535,5.2,4.3805,4,1,0
97512,2019-03-14 11:43:41.0,C,G,102.662,102.657,7.6,9.6325,5,1,1
97602,2019-03-19 15:42:45.0,C,G,102.637,102.6303,0.8,9.623,5,-1,0
97605,2019-03-19 16:18:27.0,F,F,109.065,109.039,0.005,13.3695,5,-1,1
97679,2019-03-21 16:21:11.0,D,F,101.726,101.6969,0.527,14.2703,5,-1,0
97698,2019-03-22 12:30:19.0,C,G,103.562,103.5707,5.1,9.7108,4,1,1
101221,2019-03-25 16:01:14.0,B,F,109.337,109.4415,0.05,22.685,5,1,0
101339,2019-03-29 10:57:42.0,E,F,101.349,101.317,2.0,4.3593,5,-1,0
101424,2019-04-02 13:59:16.0,C,G,103.201,103.2107,7.05,9.6521,4,1,0
101463,2019-04-03 15:37:15.0,G,F,104.357,104.3029,0.01,7.5346,5,-1,0
101473,2019-04-04 08:59:37.0,C,G,103.086,103.0592,53.8,9.6251,1,-1,0
101528,2019-04-08 11:03:58.0,C,G,103.465,103.4603,10.75,9.6631,3,1,1
101605,2019-04-10 15:16:50.0,E,F,101.49,101.4715,0.55,4.3399,5,-1,0
104136,2019-04-12 14:59:05.0,D,F,102.695,102.6295,0.31,14.3778,5,-1,0
